#a_0,M_0,emax,emin,tcol
1.010,036,0.49694,0.00074,30.27589
1.010,004,0.50062,0.00095,44.35631
1.010,026,0.50812,0.00082,41.34660
1.010,024,0.50919,0.00085,42.34067
1.010,000,0.50009,0.00095,44.35779
1.010,002,0.50022,0.00095,44.35746
1.010,020,0.50400,0.00090,42.36053
1.010,032,0.51033,0.00077,40.33210
1.010,012,0.50443,0.00095,44.34448
1.010,006,0.50124,0.00095,44.35441
1.010,010,0.50317,0.00095,44.34853
1.010,030,0.50880,0.00078,40.34278
1.010,022,0.50652,0.00087,42.35118
1.010,028,0.51166,0.00080,41.33178
1.010,014,0.50222,0.00095,43.36061
1.010,016,0.50402,0.00095,43.35453
1.010,008,0.50210,0.00095,44.35182
1.010,018,0.50600,0.00093,43.34785
1.010,038,5.03429,0.00074,-121.33904
1.010,034,0.57917,0.00075,143.15981
1.010,042,0.93014,0.00072,16.38837
1.010,040,0.60926,0.00073,153.72090
1.010,044,0.39577,0.00067,57.33985
1.010,054,0.42174,0.00052,2.10945
1.010,060,0.89919,0.00052,0.40622
1.010,048,0.60409,0.00059,83.14046
1.010,046,0.76593,0.00063,104.79093
1.010,056,0.94629,0.00051,-43.60508
1.010,066,0.42360,0.00039,75.10206
1.010,070,0.45617,0.00027,70.92644
1.010,076,0.49985,0.00029,112.76999
1.010,078,0.50234,0.00033,110.74806
1.010,074,0.49632,0.00025,118.80823
1.010,072,0.51333,0.00025,145.04418
1.010,052,0.88427,0.00053,-222.45898
1.010,064,0.48672,0.00047,267.11752
1.010,062,0.67794,0.00053,369.81742
1.010,058,0.93754,0.00051,-420.24089
1.010,050,0.61814,0.00056,622.33509
1.010,068,0.96344,0.00032,-886.25493
1.010,080,0.50213,0.00038,108.73546
1.010,084,0.50306,0.00013,107.71917
1.010,082,0.50218,0.00026,107.72516
1.010,086,0.50322,0.00001,107.71575
1.010,088,0.50311,0.00010,107.71379
1.010,090,0.50342,0.00021,108.71820
1.010,092,0.50347,0.00030,109.72385
1.010,096,0.50355,0.00021,111.73400
1.010,098,0.50307,0.00025,112.73903
1.010,100,0.50533,0.00021,114.74433
1.010,102,0.50468,0.00019,115.74848
1.010,104,0.50398,0.00043,116.75211
1.010,106,0.50343,0.00049,117.75510
1.010,108,0.50106,0.00057,118.76392
1.010,110,0.50248,0.00065,121.76768
1.010,094,0.50365,0.00024,110.72905
1.010,112,0.50088,0.00074,125.78109
1.010,114,0.49548,0.00040,142.86102
1.010,116,0.49789,0.00004,127.78646
1.010,118,0.50677,0.00024,79.01745
1.010,122,0.63659,0.00053,23.94861
1.010,124,0.31508,0.00056,87.51809
1.010,126,0.64279,0.00052,33.96762
1.010,120,0.99700,0.00043,171.39487
1.010,132,0.46727,0.00020,77.92529
1.010,130,0.37829,0.00027,126.21698
1.010,134,2.63734,0.00020,-154.22556
1.010,136,1.62022,0.00012,-130.83959
1.010,138,0.50397,0.00012,143.85787
1.010,146,0.38597,0.00010,26.01555
1.010,142,2.08239,0.00030,-79.90204
1.010,144,0.81685,0.00034,95.01213
1.010,140,0.62753,0.00021,155.11037
1.010,150,1.61859,0.00072,125.22711
1.010,152,0.40800,0.00071,24.73118
1.010,128,0.64732,0.00043,469.16800
1.010,154,0.39918,0.00069,81.71798
1.010,156,7.13375,0.00009,27.23490
1.010,148,0.89181,0.00045,-505.01500
1.010,158,0.49444,0.00026,131.71662
1.010,162,0.34264,0.00063,23.83366
1.010,164,0.59048,0.00062,34.25881
1.010,160,0.88364,0.00055,234.86172
1.010,166,0.50912,0.00061,138.01063
1.010,168,0.49784,0.00060,13.03989
1.010,170,0.50381,0.00059,142.78872
1.010,172,1.18487,0.00058,-16.56506
1.010,176,0.39767,0.00057,39.98497
1.020,000,0.50429,0.00095,42.66203
1.020,002,0.50432,0.00095,42.66177
1.010,174,0.75073,0.00058,192.40491
1.020,004,0.50456,0.00095,42.66061
1.010,180,0.38748,0.00056,149.83345
1.010,178,2.72922,0.00057,-155.68718
1.020,006,0.50506,0.00095,42.65856
1.020,008,0.50574,0.00095,42.65562
1.020,010,0.50662,0.00095,42.65176
1.020,012,0.50769,0.00095,42.64681
1.020,014,0.50484,0.00095,41.66092
1.020,016,0.50645,0.00095,41.65138
1.020,018,0.50813,0.00093,41.64337
1.020,020,0.50991,0.00090,41.63377
1.020,022,0.50854,0.00088,40.63427
1.020,024,0.51118,0.00085,39.61685
1.020,026,0.49764,0.00083,33.48066
1.020,030,0.51172,0.00079,39.60094
1.020,028,0.49864,0.00081,32.47236
1.020,036,0.46552,0.00075,22.28586
1.020,032,1.04289,0.00077,58.54421
1.020,040,0.72602,0.00074,20.11019
1.020,044,0.50458,0.00069,10.73099
1.020,042,0.43496,0.00074,88.50867
1.020,048,0.93259,0.00061,-51.00367
1.020,034,0.88653,0.00076,-328.91559
1.020,046,0.40422,0.00065,196.50725
1.020,054,0.47849,0.00053,20.70940
1.020,038,0.88076,0.00074,-307.65376
1.020,050,2.67731,0.00057,-385.75391
1.020,056,0.99999,0.00052,134.90243
1.020,052,0.87248,0.00055,-498.07077
1.020,060,1042.27692,0.00052,-0.24723
1.020,062,0.33003,0.00053,9.61198
1.020,064,0.39622,0.00049,109.34836
1.020,066,1.21639,0.00041,-94.26903
1.020,070,0.46678,0.00029,157.64967
1.020,068,1.05417,0.00034,-184.78015
1.020,074,0.49847,0.00026,119.64956
1.020,058,7.49142,0.00052,-450.47888
1.020,072,0.50567,0.00026,167.28542
1.020,076,0.50146,0.00028,115.59807
1.020,078,0.50211,0.00032,113.57704
1.020,080,0.50236,0.00037,112.56427
1.020,082,0.50347,0.00030,112.55715
1.020,084,0.50387,0.00017,112.55434
1.020,086,0.50367,0.00005,112.55424
1.020,088,0.50453,0.00007,113.56044
1.020,090,0.50342,0.00017,113.56449
1.020,092,0.50374,0.00027,114.57339
1.020,094,0.50376,0.00026,115.58284
1.020,096,0.50366,0.00020,116.59170
1.020,098,0.50350,0.00022,117.60023
1.020,100,0.50263,0.00030,118.61471
1.020,102,0.50223,0.00010,121.64083
1.020,104,0.50016,0.00035,125.68927
1.020,106,0.49576,0.00046,136.81284
1.020,108,0.49776,0.00054,127.70138
1.020,116,0.46887,0.00081,119.22549
1.020,112,5.24733,0.00070,-183.79123
1.020,110,0.44156,0.00062,195.46440
1.020,122,0.50379,0.00027,142.90376
1.020,126,0.50368,0.00060,152.00758
1.020,128,0.50081,0.00064,148.97087
1.020,118,0.95031,0.00037,-293.80885
1.020,130,0.99474,0.00061,218.18412
1.020,114,0.86289,0.00078,-397.17596
1.020,124,0.48997,0.00048,536.99662
1.020,132,0.49396,0.00055,128.91248
1.020,136,0.69168,0.00001,22.33165
1.020,134,0.75733,0.00044,851.64192
1.020,138,0.46602,0.00023,87.01956
1.020,140,5.16428,0.00018,-24.30277
1.020,142,0.95313,0.00009,70.61533
1.020,144,0.45452,0.00014,45.90822
1.020,148,0.88638,0.00028,14.34653
1.020,146,0.99809,0.00013,137.51270
1.020,150,0.42005,0.00032,61.67450
1.020,152,0.43310,0.00019,28.40877
1.020,154,2.19931,0.00023,-58.91505
1.020,158,0.94311,0.00038,11.69043
1.020,156,0.99840,0.00027,147.94782
1.020,160,4.05371,0.00016,-5.98298
1.020,162,1.40600,0.00063,-6.97190
1.020,166,0.49401,0.00061,38.49025
1.020,170,1.13458,0.00059,-19.60539
1.020,168,0.46946,0.00060,106.35545
1.020,172,0.88495,0.00059,39.71260
1.020,120,0.63552,0.00012,2729.81939
1.020,164,0.90919,0.00062,516.57637
1.020,174,1.18949,0.00058,31.69496
1.020,178,0.90114,0.00057,-9.69144
1.020,176,1.70171,0.00058,-138.77054
1.020,180,0.63788,0.00056,6.31442
1.030,000,0.50817,0.00095,39.92165
1.030,002,0.51064,0.00095,40.91135
1.030,004,0.50995,0.00095,40.91591
1.030,006,0.50965,0.00095,40.91789
1.030,008,0.50967,0.00095,40.91743
1.030,010,0.50992,0.00095,40.91532
1.030,012,0.51035,0.00095,40.91195
1.030,014,0.51086,0.00095,40.90768
1.030,016,0.51136,0.00095,40.90250
1.030,018,0.51192,0.00093,40.89527
1.030,020,0.51031,0.00091,39.89463
1.030,022,0.51106,0.00088,38.87734
1.030,024,0.49986,0.00086,32.69239
1.030,028,0.52825,0.00082,72.38085
1.030,030,0.50061,0.00080,30.67087
1.030,026,0.82453,0.00084,352.05591
1.030,032,0.47322,0.00078,55.51126
1.030,034,0.46110,0.00077,63.55794
1.030,036,0.88167,0.00076,-173.37988
1.030,040,0.74882,0.00075,34.40138
1.030,038,0.73895,0.00075,207.37050
1.030,042,0.98100,0.00075,9.89739
1.030,044,0.41978,0.00071,144.33960
1.030,046,9.58183,0.00066,-79.92885
1.030,050,0.63080,0.00059,34.03973
1.030,048,0.86571,0.00062,-76.34134
1.030,052,0.68920,0.00056,42.02848
1.030,054,0.97063,0.00054,-17.51109
1.030,056,0.42919,0.00053,10.05299
1.030,060,1.74868,0.00053,-1.85648
1.030,062,0.74281,0.00054,0.36098
1.030,064,0.69263,0.00051,104.34771
1.030,058,0.68883,0.00053,428.63976
1.030,068,0.41740,0.00036,61.79272
1.030,070,0.72376,0.00031,106.07086
1.030,066,0.74504,0.00043,266.31782
1.030,072,0.50323,0.00027,137.88487
1.030,074,0.50609,0.00027,128.70284
1.030,078,0.50716,0.00032,130.73712
1.030,076,0.50599,0.00028,128.70346
1.030,080,0.50661,0.00036,130.73609
1.030,082,0.50784,0.00034,130.72488
1.030,084,0.50056,0.00021,120.49282
1.030,086,0.50116,0.00008,119.47362
1.030,088,0.50119,0.00004,119.47778
1.030,090,0.50077,0.00014,122.52095
1.030,092,0.50833,0.00024,136.83934
1.030,094,0.50494,0.00030,147.03621
1.030,096,0.50644,0.00021,136.83058
1.030,100,0.89362,0.00027,54.60371
1.030,098,0.50034,0.00020,156.18685
1.030,106,0.50483,0.00043,135.79534
1.030,108,0.50650,0.00050,134.76835
1.030,104,7.49931,0.00022,-210.50942
1.030,102,0.54719,0.00017,405.79072
1.030,110,0.50505,0.00058,144.96620
1.030,112,0.50403,0.00066,143.94112
1.030,114,0.50477,0.00075,143.93410
1.030,116,0.99904,0.00082,81.93513
1.030,122,1.21895,0.00041,-87.93177
1.030,118,0.53687,0.00090,229.31497
1.030,124,1.00735,0.00014,30.88274
1.030,128,0.99947,0.00055,31.52236
1.030,120,3.28912,0.00088,-284.51761
1.030,130,0.25413,0.00071,69.01003
1.030,126,0.40642,0.00030,148.35325
1.030,134,0.60752,0.00077,10.37763
1.030,132,0.40023,0.00078,104.49734
1.030,136,0.99174,0.00070,23.62184
1.030,138,0.37385,0.00058,69.22945
1.030,142,0.48199,0.00034,94.38888
1.030,148,0.99899,0.00006,20.50663
1.030,146,0.56998,0.00014,75.63192
1.030,144,0.44380,0.00025,105.95140
1.030,150,0.28883,0.00013,119.01208
1.030,152,1.12413,0.00023,-16.00584
1.030,140,0.86206,0.00047,975.74046
1.030,154,1.00138,0.00027,-73.85767
1.030,162,1.86268,0.00063,-76.61730
1.030,156,1.88228,0.00010,-268.46160
1.030,160,0.86394,0.00056,159.25771
1.030,172,0.51963,0.00019,8.08598
1.030,166,0.94471,0.00019,-66.13071
1.030,168,1.50532,0.00056,-64.47494
1.030,158,1.74628,0.00030,-210.00766
1.030,170,0.83146,0.00014,106.45884
1.030,176,0.51392,0.00057,90.86005
1.030,178,0.46836,0.00056,48.50189
1.030,174,1.22583,0.00057,-291.04037
1.040,000,0.51229,0.00095,38.12071
1.040,002,0.51369,0.00095,38.10682
1.040,004,0.51163,0.00095,37.11188
1.030,180,0.54571,0.00055,198.49023
1.040,006,0.51343,0.00095,38.10358
1.040,008,0.50850,0.00095,27.84796
1.040,010,0.46340,0.00095,22.65806
1.030,164,0.77009,0.00017,1335.80023
1.040,012,0.51930,0.00095,33.04623
1.040,016,0.60967,0.00095,23.72747
1.040,014,0.64443,0.00095,83.35964
1.040,018,0.51268,0.00094,25.75877
1.040,020,3.16721,0.00091,-56.10009
1.040,022,1.07775,0.00089,-68.82697
1.040,026,65.85642,0.00084,27.69369
1.040,024,0.50689,0.00087,66.87058
1.040,030,0.47340,0.00081,20.51006
1.040,028,0.88045,0.00082,-76.71764
1.040,032,1.62225,0.00079,-26.14101
1.040,036,0.99771,0.00077,49.40769
1.040,038,0.92156,0.00076,73.10333
1.040,042,0.56497,0.00075,25.06014
1.040,034,0.50256,0.00078,30.86699
1.040,044,0.64496,0.00072,297.99387
1.040,040,0.79226,0.00075,471.22151
1.040,046,5.19418,0.00068,-146.53731
1.040,048,0.50017,0.00064,91.71446
1.040,050,0.53207,0.00061,48.81506
1.040,052,1.58212,0.00058,-58.39093
1.040,054,0.45806,0.00007,122.11779
1.040,062,3.18032,0.00055,0.22908
1.040,058,1.03149,0.00054,-149.61721
1.040,066,0.29304,0.00046,76.05302
1.040,064,0.28812,0.00053,139.97757
1.040,060,0.90941,0.00054,-232.24012
1.040,070,0.50286,0.00033,170.70246
1.040,072,0.50496,0.00029,135.76902
1.040,068,0.86926,0.00039,-371.21766
1.040,074,0.50160,0.00028,150.11474
1.040,076,1.57711,0.00029,-159.41691
1.040,080,0.41885,0.00036,19.94181
1.040,056,0.97365,0.00054,535.01813
1.040,084,0.36235,0.00024,54.70168
1.040,078,0.35360,0.00031,157.64424
1.040,082,0.83859,0.00038,-239.11264
1.040,086,0.50157,0.00012,143.94989
1.040,088,0.50531,0.00003,162.44598
1.040,090,0.50582,0.00011,135.73573
1.040,092,0.50570,0.00021,143.95802
1.040,102,539.31058,0.00031,-135.05766
1.040,100,0.99937,0.00023,186.31772
1.040,104,0.43361,0.00010,52.95493
1.040,106,0.51049,0.00038,71.89723
1.040,098,0.84944,0.00019,316.07480
1.040,108,0.80346,0.00047,110.48240
1.040,096,0.83344,0.00023,-470.99641
1.040,112,0.50082,0.00051,119.69107
1.040,094,0.50452,0.00030,139.83674
1.040,114,0.87927,0.00071,-58.39093
1.040,116,0.45464,0.00079,38.65562
1.040,118,0.43998,0.00087,69.08328
1.040,120,0.50370,0.00094,143.90150
1.040,110,1.15707,0.00055,-511.21335
1.040,124,2.95992,0.00095,-85.37192
1.040,126,0.46614,0.00052,54.56713
1.040,128,1.00051,0.00015,102.24776
1.040,122,0.73520,0.00095,270.66440
1.040,130,0.32794,0.00029,12.51476
1.040,132,2.46626,0.00059,-38.46063
1.040,136,0.40121,0.00092,105.34177
1.040,144,1.82758,0.00036,-4.88712
1.040,134,0.88111,0.00080,279.06424
1.040,140,0.45870,0.00057,93.98969
1.040,146,34.44160,0.00041,-3.61443
1.040,148,0.38687,0.00009,3.49555
1.040,150,15.54513,0.00025,-27.26098
1.040,138,1.05166,0.00087,-436.63383
1.040,142,8.33171,0.00037,-333.29156
1.040,152,1.07156,0.00012,-123.01803
1.040,154,1.01106,0.00002,-52.53656
1.040,156,0.93756,0.00010,199.10452
1.040,158,0.78365,0.00020,52.02277
1.040,160,0.44729,0.00021,103.50705
1.040,164,3.16955,0.00030,-61.19084
1.040,166,0.46012,0.00010,28.97002
1.040,168,0.51436,0.00029,98.37576
1.040,170,0.87959,0.00052,-30.62088
1.040,172,0.63190,0.00057,50.87757
1.040,174,1.04670,0.00056,-6.69434
1.040,180,0.50210,0.00054,145.81440
1.050,002,0.59576,0.00095,47.24064
1.050,000,1.27066,0.00095,-76.27749
1.050,004,0.50713,0.00095,48.32953
1.040,178,0.87673,0.00033,-303.00158
1.050,010,0.99867,0.00095,33.03806
1.050,008,5.91095,0.00095,-113.56412
1.050,006,0.69983,0.00095,216.14519
1.050,012,2.38428,0.00095,-125.20974
1.050,014,0.56735,0.00095,18.25735
1.050,018,37.64701,0.00094,-54.58721
1.050,016,0.66721,0.00095,279.34121
1.050,020,0.27807,0.00092,161.31201
1.050,024,0.50590,0.00087,29.02104
1.050,022,0.87263,0.00089,525.83459
1.050,026,25.36198,0.00085,-140.54786
1.050,028,0.52215,0.00083,80.39079
1.050,030,0.91977,0.00081,-64.14126
1.050,038,3.19377,0.00077,-3.27936
1.050,034,1.88751,0.00078,-89.70481
1.050,036,0.48541,0.00077,109.93535
1.050,042,8.37821,0.00076,-11.23247
1.050,040,1.02773,0.00076,-25.17622
1.050,032,0.94507,0.00080,-258.70826
1.050,046,0.99998,0.00070,38.73377
1.050,050,0.73099,0.00062,15.84225
1.050,048,2.31140,0.00066,-92.82924
1.050,052,0.49756,0.00059,63.00798
1.050,044,4.00886,0.00074,-365.22304
1.050,054,0.66267,0.00057,81.11143
1.050,056,9.26656,0.00056,-45.80781
1.050,058,0.47451,0.00055,91.74812
1.040,176,0.86822,0.00056,3193.19702
1.050,060,124.20882,0.00055,-16.39682
1.050,062,3.75542,0.00055,-1.34273
1.050,064,0.39486,0.00056,0.46925
1.050,072,0.50189,0.00031,157.36274
1.050,066,0.43624,0.00048,39.82491
1.050,078,0.93340,0.00031,-151.05732
1.050,070,0.51645,0.00035,205.05166
1.050,082,0.25405,0.00039,25.85799
1.050,080,0.24557,0.00035,117.84912
1.050,086,0.99814,0.00016,72.88545
1.050,076,0.43490,0.00029,44.37074
1.050,094,55.29924,0.00027,-192.52708
1.050,084,1.82200,0.00028,-22.61987
1.050,088,1.56808,0.00005,-37.10588
1.050,096,1.54727,0.00025,-75.50284
1.050,102,0.59939,0.00028,32.43735
1.050,098,0.51055,0.00018,152.20365
1.050,092,0.50496,0.00018,221.60721
1.050,068,0.43570,0.00041,97.15764
1.050,090,0.61250,0.00008,22.29072
1.050,074,20.87709,0.00029,-103.90678
1.050,100,0.61817,0.00020,425.61409
1.050,104,0.41768,0.00012,76.61638
1.050,106,0.35891,0.00025,20.48420
1.050,112,2.78930,0.00059,-33.12932
1.050,110,2.55359,0.00051,-9.16673
1.050,108,0.99753,0.00044,22.77237
1.050,116,0.95691,0.00076,5.37125
1.050,114,0.47455,0.00068,259.15689
1.050,120,0.80532,0.00091,116.42661
1.050,118,0.82240,0.00083,412.00148
1.050,128,1.52395,0.00076,-51.23038
1.050,122,0.41762,0.00095,94.00480
1.050,136,0.95045,0.00054,72.77228
1.050,140,0.88247,0.00079,47.13179
1.050,124,0.52408,0.00088,170.49972
1.050,132,0.50362,0.00024,145.87073
1.050,134,0.50878,0.00024,175.93049
1.050,144,0.88841,0.00041,68.35386
1.050,130,0.50601,0.00070,223.46656
1.050,126,0.58267,0.00079,197.94640
1.050,146,0.55582,0.00033,94.42030
1.050,148,0.60260,0.00038,150.70366
1.050,152,1.56509,0.00028,-68.53096
1.050,154,0.96228,0.00027,-37.95799
1.050,138,0.76281,0.00083,485.07255
1.050,150,1.11626,0.00051,-227.74796
1.050,142,0.95647,0.00058,427.17460
1.050,156,1.09022,0.00026,-188.83456
1.050,158,0.51317,0.00014,72.72040
1.040,162,0.97958,0.00031,12940.36432
1.050,164,0.63642,0.00010,12.18728
1.050,160,0.37782,0.00004,91.06731
1.050,170,0.57924,0.00019,4.44817
1.050,168,0.75415,0.00031,26.76500
1.050,162,1.15188,0.00007,-145.66057
1.050,166,0.85223,0.00023,198.93465
1.050,172,1.00666,0.00009,-61.04265
1.050,178,0.81960,0.00023,-18.97900
1.050,176,0.64874,0.00002,52.56363
1.050,180,0.48935,0.00045,38.10091
1.060,000,0.51818,0.00095,22.98519
1.060,002,0.28560,0.00095,111.71873
1.060,004,1.24742,0.00095,-30.61789
1.060,010,0.48285,0.00095,43.61683
1.060,008,0.49649,0.00095,84.08726
1.060,006,0.91303,0.00095,-192.21959
